model,f1 score
CatBoostClassifier,0.9607154263813478
RandomForestClassifier,0.957526545908807
XGBClassifier,0.9565356089002313
LGBMClassifier,0.9565009178705404
KNeighborsClassifier,0.926098880735305
GradientBoostingClassifier,0.9209578963844107
DecisionTreeClassifier,0.918311617383163
MLPClassifier,0.8909477521263669
SVC,0.8596330275229358
LogisticRegression,0.8193073186020999
GaussianNB,0.7800112454315434
